name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,51,9,24,7,0,70,40,8,92,100,2,98,100,2,18,7,0,69,29,46,5,40,3,81,83,50,12,36,16,0,27,11,1,67,5,5,0,62,60,17,0,10,6,0,10,3,20,8,75,23,63,22,48,25,28,6,6,1,69,48,11,0,20,3,34,18,3,30,13,0,78,17,40,24,28,15,3,76,36,23,4,6,17,10,36,14,38,7,59,36,8,2,2,77,63,27,45,38,31,5,46,0,58,30,22,1,37,11,3,53,48,91,40,2,93,92,54,18,72,53,48,8,6,24,1,2,8,100,0,15,37,27,30,22,1,27,78,44,64,38,1,0,0,0,0,16,14,2,1,18
ivysaur,48,0,15,37,20,2,69,45,12,98,100,1,100,100,2,40,10,0,77,16,37,9,61,16,87,94,26,5,45,24,4,53,22,1,72,6,11,0,49,68,24,0,16,7,1,12,3,37,20,60,14,59,30,68,15,26,3,3,1,81,54,9,0,23,6,32,14,9,34,14,3,83,41,37,25,6,21,2,80,18,33,3,12,22,7,50,10,32,13,42,6,3,2,0,78,70,35,32,12,31,11,37,0,49,27,39,2,35,5,2,52,17,98,14,2,91,90,40,16,77,42,47,17,10,31,0,1,17,100,2,13,77,40,43,36,3,39,69,39,69,28,2,3,0,0,0,35,18,8,4,27
venusaur,91,85,0,71,50,16,93,81,44,100,100,7,100,100,39,35,26,3,97,80,88,36,92,60,100,99,79,49,91,68,30,80,73,8,90,38,24,4,86,92,79,14,63,43,29,54,25,69,36,87,61,93,67,94,53,65,20,23,1,91,87,41,0,35,15,70,38,30,74,50,24,97,74,78,57,49,58,31,96,44,64,39,46,68,44,77,52,72,38,71,27,12,3,2,95,90,65,80,54,76,30,67,2,90,49,85,19,74,24,18,73,47,100,61,23,96,100,86,69,93,95,67,39,64,84,3,4,59,100,7,41,74,89,87,85,32,70,92,78,88,59,4,8,0,1,1,67,58,12,8,55
charmander,76,61,28,0,16,0,6,1,0,93,100,7,100,100,26,53,15,2,72,9,70,17,61,16,49,41,24,1,46,19,0,54,26,0,45,4,28,0,45,25,63,9,45,36,19,69,38,74,40,28,1,51,14,32,1,21,2,8,0,14,1,0,0,31,4,21,7,0,71,46,20,29,4,1,0,0,18,3,22,1,51,9,28,40,8,11,3,39,8,37,8,8,0,1,13,67,13,27,0,26,4,49,6,20,1,9,0,15,13,3,1,0,81,48,1,25,3,10,1,14,1,48,24,9,10,1,5,5,100,0,0,55,22,1,2,2,32,0,0,0,0,0,0,0,0,0,26,13,1,0,7
charmeleon,92,79,49,84,0,9,27,10,0,99,100,36,100,100,49,60,41,3,90,39,94,40,76,37,87,79,42,7,66,39,11,80,58,2,63,9,48,2,66,33,81,33,80,59,38,78,55,85,64,54,11,74,37,70,11,55,11,39,1,36,6,1,0,44,17,53,27,8,92,65,49,54,1,7,0,0,49,22,53,3,50,38,44,84,36,39,10,52,14,57,32,18,4,0,37,83,47,29,3,54,13,71,17,52,6,21,16,43,37,12,13,1,90,84,1,44,15,32,11,25,3,63,36,40,29,22,11,17,100,0,0,72,47,8,29,15,60,3,0,2,0,0,3,6,0,12,64,36,6,2,16
charizard,100,96,82,100,91,0,72,46,18,100,100,71,100,100,95,76,68,30,99,75,100,87,98,80,99,92,68,40,97,79,48,99,90,37,91,33,57,15,92,74,97,64,100,97,95,88,73,100,90,100,92,97,70,95,56,82,56,60,15,90,65,13,40,57,43,87,67,46,100,93,87,98,38,46,17,10,94,69,90,10,73,68,83,99,74,77,47,85,39,81,49,48,39,5,63,96,83,65,33,90,62,93,44,91,57,94,44,63,62,60,48,11,100,95,30,87,73,70,29,89,41,97,76,86,62,64,45,56,100,6,28,81,88,46,75,61,96,31,2,37,9,6,13,35,18,58,97,78,49,35,41
squirtle,28,29,5,93,73,28,0,12,0,100,100,11,100,100,40,51,33,3,96,37,97,54,84,33,59,25,64,6,86,33,6,85,46,1,71,3,41,8,89,51,92,24,10,7,3,61,32,93,51,81,22,84,44,60,6,30,4,34,5,63,12,1,0,43,5,51,9,2,55,21,4,80,10,70,52,22,79,45,87,0,26,1,28,78,30,53,19,57,2,86,2,11,3,1,93,87,29,37,2,50,7,30,0,84,43,16,0,46,40,5,77,39,79,42,1,94,81,38,7,57,7,78,42,14,14,33,2,20,100,0,0,55,37,3,14,29,58,48,4,21,2,3,0,0,0,38,41,30,2,0,11
wartortle,59,51,17,99,90,54,88,0,3,100,100,26,100,100,74,67,45,9,100,75,100,82,99,59,86,51,91,36,100,88,26,99,80,17,85,5,58,23,97,87,99,48,20,23,10,84,57,100,85,95,46,95,75,93,22,61,12,54,10,86,65,1,0,57,20,84,53,15,81,54,21,92,49,82,75,51,93,74,98,15,63,15,55,96,68,89,40,82,28,92,38,19,7,0,99,98,68,86,18,86,31,39,3,94,59,35,9,80,53,13,91,64,96,77,18,97,90,78,25,82,63,93,67,50,30,66,3,49,100,0,9,83,85,29,41,61,85,82,28,58,8,15,0,2,0,90,70,58,15,10,20
blastoise,92,86,46,100,100,82,100,97,0,100,100,53,100,100,100,75,50,26,100,100,100,100,100,96,97,89,98,81,100,100,94,100,100,63,98,44,76,27,100,100,100,86,59,46,32,97,94,100,95,99,85,100,99,100,90,99,63,74,18,100,94,52,0,68,43,99,84,68,98,92,66,100,87,96,91,77,100,97,100,75,93,62,99,100,94,96,97,96,67,99,92,29,2,1,100,100,99,100,88,100,85,70,35,100,95,84,80,100,95,72,97,80,96,98,44,100,100,99,93,95,100,100,95,84,75,85,36,89,100,7,66,97,100,91,86,98,100,100,82,95,35,49,51,50,9,100,97,96,57,38,58
caterpie,8,2,0,7,1,0,0,0,0,0,34,0,45,63,0,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,97,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
metapod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butterfree,58,52,25,39,14,1,27,11,4,58,55,0,65,73,30,34,15,1,53,11,47,16,54,34,40,20,34,6,61,44,13,65,54,11,42,6,21,0,35,19,61,34,50,47,34,37,26,56,38,46,21,45,14,36,5,50,17,12,3,30,13,14,0,10,0,61,36,32,62,51,48,51,25,34,13,6,23,11,16,1,16,2,25,43,14,10,5,49,16,55,21,51,22,13,44,14,4,54,24,27,7,22,0,36,18,42,5,25,44,40,36,11,11,47,2,53,48,33,6,31,4,6,15,0,8,6,4,12,69,0,1,12,28,6,8,9,28,39,10,39,8,3,0,0,0,2,32,25,9,0,5
