name,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran-f,nidorina,nidoqueen,nidoran-m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetch'd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,0,73,28,56,28,1,86,67,35,99,100,1,100,100,8,46,25,6,86,45,59,20,72,21,85,95,73,37,66,34,22,68,45,29,81,14,23,2,79,62,39,0,50,22,6,20,5,34,14,83,43,75,52,85,48,39,32,18,4,88,71,42,0,38,18,57,50,28,56,20,2,90,61,64,70,38,22,9,90,46,58,20,17,50,9,64,35,47,16,79,34,22,20,3,87,79,38,64,49,59,39,69,0,78,54,53,19,57,35,13,77,60,99,72,15,97,97,76,48,92,81,62,5,42,57,0,2,44,100,6,34,88,57,74,57,4,59,90,67,68,47,13,4,0,0,0,41,24,4,7,27
ivysaur,25,0,36,61,29,5,83,70,29,99,99,3,100,100,19,43,13,2,93,48,69,13,70,17,95,96,61,38,71,46,18,71,34,15,88,23,28,1,79,69,58,5,54,30,14,21,2,54,25,81,49,81,51,85,54,56,20,18,1,93,65,27,0,51,18,56,31,19,57,22,12,97,68,74,63,46,42,10,85,26,48,17,24,54,15,65,40,52,30,64,19,28,14,3,88,84,55,63,35,62,31,58,1,61,54,61,22,40,4,4,68,47,99,55,1,97,93,79,38,92,83,65,19,42,56,5,2,33,100,2,42,88,63,66,55,11,59,83,79,76,56,5,5,0,0,0,58,26,5,15,40
venusaur,70,61,0,90,77,28,100,93,70,100,100,23,100,100,72,61,42,12,100,94,95,58,96,79,100,100,93,71,96,82,65,93,88,41,96,53,58,13,99,93,95,28,94,83,69,76,41,90,55,99,83,97,86,99,86,92,63,53,4,95,94,72,0,72,34,87,70,50,93,80,53,99,92,88,76,74,89,59,98,70,78,62,62,89,65,93,71,82,58,88,56,53,20,4,99,97,91,85,72,95,67,84,11,93,87,99,46,71,44,29,90,83,99,89,59,99,100,94,83,97,99,92,38,94,94,36,7,78,100,24,74,97,91,91,88,72,84,99,94,92,81,47,36,3,3,16,88,79,25,37,77
charmander,44,37,10,0,40,29,30,24,2,95,100,45,100,100,48,64,44,17,91,33,82,50,74,33,84,73,61,22,70,49,7,70,50,18,68,16,40,13,63,42,77,33,81,59,44,81,65,93,67,52,14,70,45,54,13,35,36,30,4,39,19,1,0,49,27,54,39,23,83,73,54,43,21,16,2,0,46,22,44,2,66,38,51,63,33,37,12,39,11,67,26,28,19,3,47,76,36,41,7,46,36,81,34,56,19,23,17,33,46,24,20,7,88,74,2,49,26,45,20,29,12,44,42,42,27,23,24,24,100,0,7,77,60,16,35,32,47,7,0,3,0,0,3,27,4,12,49,31,10,8,20
charmeleon,70,71,22,60,0,31,61,34,3,100,100,73,100,100,81,85,61,33,93,69,96,69,92,71,95,86,80,44,86,69,46,88,76,39,74,44,66,18,81,67,98,53,94,91,63,86,72,98,83,74,22,87,69,85,32,83,45,58,19,68,37,12,0,65,32,81,62,34,94,84,82,85,26,37,23,5,74,57,74,8,80,67,64,92,61,68,38,72,33,81,63,52,26,21,64,87,59,74,41,62,59,94,59,74,42,72,43,69,64,45,42,5,99,83,13,75,53,65,27,56,28,87,67,74,62,48,42,53,100,4,21,85,71,33,68,49,73,18,0,21,1,9,16,47,29,31,75,63,25,26,31
charizard,99,94,72,71,69,0,86,71,37,100,100,76,100,100,98,85,82,47,100,84,100,98,100,91,100,95,83,76,100,93,71,100,91,67,96,59,79,40,96,85,99,84,100,100,100,96,90,99,94,100,91,100,87,99,75,93,73,78,44,99,83,42,78,75,55,92,79,74,99,96,96,98,56,74,52,31,94,78,97,45,91,82,88,99,89,89,72,96,75,88,69,60,59,31,80,99,83,74,61,94,76,98,60,94,77,87,62,72,80,87,64,43,100,98,61,95,93,88,57,94,73,99,85,94,80,85,58,82,100,30,53,91,93,72,89,69,99,64,17,65,14,21,36,81,50,70,98,83,56,58,74
squirtle,14,15,0,70,38,14,0,35,3,100,100,42,100,100,73,70,54,13,99,66,99,75,98,63,83,55,91,39,98,82,32,92,82,16,94,18,73,20,99,82,100,61,37,35,5,92,50,96,81,97,58,97,74,77,23,72,33,65,23,94,57,3,0,57,30,72,27,14,86,40,13,92,45,85,74,45,93,72,97,3,55,26,71,97,63,91,38,81,23,98,39,35,18,9,99,97,68,76,22,81,49,36,8,94,42,49,23,67,48,29,84,80,93,80,16,95,100,81,31,83,57,88,49,66,45,73,13,62,100,2,10,91,80,37,44,75,81,72,27,45,28,26,2,5,5,84,83,59,9,9,33
wartortle,32,26,7,75,65,29,65,0,16,100,100,52,100,100,90,85,66,34,99,97,100,94,100,87,94,72,99,77,98,97,69,100,95,45,96,36,67,34,100,99,100,87,62,46,29,96,80,100,91,100,85,100,96,99,61,91,54,73,30,99,91,18,0,66,41,95,77,50,96,87,43,100,81,88,80,84,98,91,100,29,81,34,85,97,92,99,83,95,49,100,65,59,27,24,100,100,91,90,49,96,59,67,24,99,82,75,49,89,88,54,92,87,95,95,31,100,100,97,71,98,96,96,86,87,64,87,26,79,100,11,30,96,96,72,80,84,98,96,52,91,39,39,11,31,17,99,92,74,26,27,55
blastoise,63,70,29,98,97,63,97,84,0,100,100,75,100,100,99,94,86,45,100,100,100,100,99,100,100,96,100,98,100,100,99,100,100,94,100,72,92,57,100,100,100,91,82,79,56,100,95,100,100,100,100,100,100,100,100,100,90,95,44,100,99,91,0,75,64,99,94,95,99,97,88,100,97,99,97,90,100,100,100,90,98,86,100,100,100,100,100,98,90,99,100,60,42,9,100,100,100,100,95,100,98,86,78,100,100,95,95,99,99,90,100,97,100,100,70,100,99,100,98,100,100,100,96,100,89,100,69,97,100,52,90,100,100,98,99,100,100,99,94,100,65,90,73,87,59,100,97,99,82,66,90
caterpie,1,1,0,5,0,0,0,0,0,0,23,0,91,44,4,0,0,0,20,0,11,0,1,0,0,2,0,0,6,0,0,3,0,0,2,0,0,0,0,0,10,0,0,0,0,9,1,1,0,11,0,7,0,3,0,2,0,5,0,0,0,0,0,4,0,3,0,0,11,4,0,4,0,0,0,0,14,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,90,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
